Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"International tourism, number of arrivals",ST.INT.ARVL,OECD members,OED,..,439173049.8,522214000,500178000,520034000,543542000,561612000,588725300,626524600,660053000,681890000,..
"International tourism, number of arrivals",ST.INT.ARVL,Other small states,OSS,..,15071837.37,26447048.34,26086301.68,30906850.26,26621900.63,29193646.35,31565311.23,35101567.58,35089144.48,38130258.87,..
"International tourism, number of arrivals",ST.INT.ARVL,Pacific island small states,PSS,..,572454.1063,982543.0897,962452.2383,1064312.855,1121471.327,1140557.636,1124520.436,1184836.448,1259767.61,1294722.093,..
"International tourism, number of arrivals",ST.INT.ARVL,Post-demographic dividend,PST,..,417740688.9,519256500,494445000,518743300,542860000,569178900,597585800,617969900,645431600,681543100,..
"International tourism, number of arrivals",ST.INT.ARVL,Pre-demographic dividend,PRE,..,5806116.375,12836345.32,13679789.93,15187202.11,15988129.04,15992566,16146128.4,15904245.69,16913183.56,18571327.92,..
"International tourism, number of arrivals",ST.INT.ARVL,Small states,SST,..,20658673.13,33007258.77,32348149,37402607.45,33508925.57,36208569.44,38436307.41,42226087.37,42527696.1,45731037,..
"International tourism, number of arrivals",ST.INT.ARVL,South Asia,SAS,..,4826435.65,8365577.602,8065426.131,9234490.674,10392363.13,10725073.4,11682769.25,18915333.11,19195192.47,21293009.21,..
"International tourism, number of arrivals",ST.INT.ARVL,South Asia (IDA & IBRD),TSA,..,4826435.65,8365577.602,8065426.131,9234490.674,10392363.13,10725073.4,11682769.25,18915333.11,19195192.47,21293009.21,..
"International tourism, number of arrivals",ST.INT.ARVL,Sub-Saharan Africa,SSF,..,17553281.43,30600178.98,28335331.94,31457313.22,33102237.7,34268204.76,35467723.47,36635508.87,36945814.58,40481535.93,..
"International tourism, number of arrivals",ST.INT.ARVL,Sub-Saharan Africa (excluding high income),SSA,..,17417829.27,30435745.5,28171920.31,31276319.76,32900875.28,34051811.68,35228265.62,36393095.6,36656024.36,40163295.08,..
"International tourism, number of arrivals",ST.INT.ARVL,Sub-Saharan Africa (IDA & IBRD countries),TSS,..,17553281.43,30600178.98,28335331.94,31457313.22,33102237.7,34268204.76,35467723.47,36635508.87,36945814.58,40481535.93,..
"International tourism, number of arrivals",ST.INT.ARVL,Upper middle income,UMC,..,152605697.9,249314105,241841635.1,258932397.3,277441002,297150979.9,309453370.5,322450180.6,333923473.7,337029449.1,..
"International tourism, number of arrivals",ST.INT.ARVL,World,WLD,..,677316502.3,935681330.4,896368379.4,955860594.5,996752403.9,1053704425,1104605913,1157357160,1203839203,1244960952,..
