faa_site_number,loc_id,airport_name,associated_city,state,region,ado,use,lat_dms,long_dms,lat_dd,long_dd,airport_ownership,part_139,npias_service_level,npias_hub_type,airport_control_tower,fuel,other_services,based_aircraft_total,total_operations
16181.*A,N23,SIDNEY MUNI,SIDNEY,NY,AEA,NYC,PU,42-18-09.3000N,075-24-57.5000W,42.30258333,-75.41597222,PU,,General Aviation,,N,100LLA,AFRT  AMB  CARGO  CHTR  INSTR  RNTL  SALES,25,7800
16191.1*A,6B9,SKANEATELES AERO DROME,SKANEATELES,NY,AEA,NYC,PU,42-54-50.2410N,076-26-26.7680W,42.91395583,-76.44076889,PR,,General Aviation,,N,100LL,,25,9108
15690.1*A,44N,SKY ACRES,MILLBROOK,NY,AEA,NYC,PU,41-42-26.7000N,073-44-16.9000W,41.70741667,-73.73802778,PR,,Reliever,,N,100LL,,86,48300
16205.5*A,4B0,SOUTH ALBANY,SOUTH BETHLEHEM,NY,AEA,NYC,PU,42-33-38.6000N,073-50-02.2000W,42.56072222,-73.83394444,PR,,General Aviation,,N,100LLA,AMB  INSTR,44,28500
15174.1*A,1N2,SPADARO,EAST MORICHES,NY,AEA,NYC,PU,40-49-40.3550N,072-44-55.3590W,40.82787639,-72.74871083,PR,,Reliever,,N,,PAJA,10,6100
15752.*A,SWF,STEWART INTL,NEW YORK,NY,AEA,NYC,PU,41-30-14.8000N,074-06-17.4000W,41.50411111,-74.10483333,PU,I C S 07/1973,Primary,Non-Hub,Y,100LLA,CARGO  CHTR  INSTR  RNTL,51,47081
15713.11*A,MSV,SULLIVAN COUNTY INTL,MONTICELLO,NY,AEA,NYC,PU,41-42-05.9000N,074-47-42.1000W,41.70163889,-74.79502778,PU,IV A U 12/1974,General Aviation,,N,100LLA,CHTR  INSTR  RNTL,29,21466
16269.*A,SYR,SYRACUSE HANCOCK INTL,SYRACUSE,NY,AEA,NYC,PU,43-06-40.3000N,076-06-22.7000W,43.11119444,-76.10630556,PU,I C S 05/1973,Primary,Small,Y,100LLA,AFRT  AVNCS  CARGO  CHTR  INSTR  RNTL  SALES,40,69087
16277.1*A,4B6,TICONDEROGA MUNI,TICONDEROGA,NY,AEA,NYC,PU,43-52-38.2000N,073-24-47.3000W,43.87727778,-73.41313889,PU,,General Aviation,,N,100LL,,4,11200
15218.*A,CZG,TRI-CITIES,ENDICOTT,NY,AEA,NYC,PU,42-04-42.7000N,076-05-46.8000W,42.07852778,-76.09633333,PU,,General Aviation,,N,100LLA+,,34,6500
16355.*A,N72,WARWICK MUNI,WARWICK,NY,AEA,NYC,PU,41-17-15.3370N,074-17-13.5410W,41.28759361,-74.28709472,PU,,General Aviation,,N,100LL,INSTR  RNTL,46,4500
16367.*A,ART,WATERTOWN INTL,WATERTOWN,NY,AEA,NYC,PU,43-59-30.6000N,076-01-09.9000W,43.99183333,-76.01941667,PU,I A S 07/1976,Primary,Non-Hub,N,100LLA,CARGO  INSTR  RNTL,33,49786
16391.1*A,ELZ,WELLSVILLE MUNI ARPT-TARANTINE FLD,WELLSVILLE,NY,AEA,NYC,PU,42-06-34.3000N,077-59-23.9000W,42.10952778,-77.98997222,PU,,General Aviation,,N,100LLA,AFRT  CARGO  CHTR  INSTR  RNTL  SALES,18,9350
15784.5*H,JRA,WEST 30TH ST,NEW YORK,NY,AEA,NYC,PU,40-45-16.3650N,074-00-25.5020W,40.75454583,-74.00708389,PU,,General Aviation,,N,A,AFRT  AMB  CHTR,0,14510
16433.*A,HPN,WESTCHESTER COUNTY,WHITE PLAINS,NY,AEA,NYC,PU,41-04-01.0299N,073-42-27.2396W,41.06695275,-73.70756656,PU,I B S 04/1977,Primary,Small,Y,100LLA,AVNCS  CARGO  CHTR  INSTR  RNTL  SALES,282,148516
16383.1*A,B16,WHITFORDS,WEEDSPORT,NY,AEA,NYC,PU,43-04-48.9940N,076-32-18.1520W,43.08027611,-76.53837556,PR,,Reliever,,N,100LLMOGAS,INSTR  PAJA  RNTL,20,6100
16433.9*A,SDC,WILLIAMSON-SODUS,WILLIAMSON/SODUS,NY,AEA,NYC,PU,43-14-04.6000N,077-07-10.1000W,43.23461111,-77.11947222,PR,,Reliever,,N,100LL,AMB  INSTR,57,26536
16469.*A,N82,WURTSBORO-SULLIVAN COUNTY,WURTSBORO,NY,AEA,NYC,PU,41-35-49.7000N,074-27-29.9000W,41.59713889,-74.45830556,PR,,Reliever,,N,100LL,GLD  INSTR  RNTL  SALES  TOW,0,70000
